ConditionName,SeqID,ConditionCode,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankIPI_ms,RightFlankIPI_ms,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG
two_targets_moving_anchor_random,4610,C5,292,2,180,181,214,84.3457943925234,11.9097010965677,0.0360203866937795,19.7451116304235,20.4690532997456,1.6579015266902,1.71868740733088,0.3422750631808,0.3422750631808,1,0
two_targets_moving_anchor_random,4610,C5,293,2,193,194,214,90.4205607476636,13.2025169594273,0.0284914149436636,18.7199055384162,19.2214159173152,1.41790429778992,1.455890265196,0.379168334857652,0.379168334857652,1,0
two_targets_moving_anchor_random,4613,C5,294,2,13,14,199,6.78391959798995,40.5695805781501,0.0488423658642291,77.2054301721749,65.4549422744689,1.90303742537965,1.61339953092149,1.16837104022887,1.16837104022887,1,0
two_targets_moving_anchor_random,4613,C5,295,2,20,21,199,10.3015075376884,20.2773351806472,0.0257116084619621,49.5960587289464,43.0938016550926,2.44588641885652,2.12522016681076,0.581923907270658,0.581923907270658,1,0
two_targets_moving_anchor_random,4613,C5,296,2,84,85,199,42.4623115577889,15.7494720221806,0.0427159516799217,19.6946559062523,19.8261995629044,1.25049626289158,1.25884852107946,0.452787477006066,0.452787477006066,1,0
two_targets_moving_anchor_random,4613,C5,297,2,178,179,199,89.6984924623116,17.4431866348738,0.0222753692300437,22.202407847876,24.5561030059447,1.27284127107183,1.40777620052807,0.500436806981364,0.500436806981364,1,0
two_targets_moving_anchor_random,4613,C5,298,2,183,184,199,92.2110552763819,17.1870776011699,0.0479562371333358,24.4929641473974,26.6249136426692,1.42508020943189,1.54912395582929,0.494147774375721,0.494147774375721,1,0
two_targets_moving_anchor_random,4617,C5,299,2,13,14,35,38.5714285714286,49.2869523731725,0.0435746624272803,74.9237610381291,64.7451696739333,1.52015406574238,1.31363710995397,1.41804525899177,1.41804525899177,1,0
two_targets_moving_anchor_random,4617,C5,300,2,28,29,35,81.4285714285714,13.7953161823742,0.0213812022900827,35.8484657715813,30.9413176319545,2.59859689315304,2.24288571736306,0.396072904313407,0.396072904313407,1,0
two_targets_moving_anchor_random,4617,C5,301,2,32,33,35,92.8571428571429,7.34596335182825,0.035264697494938,28.6401033210987,25.923940731359,3.89875390733754,3.52900490919371,0.210899018863658,0.210899018863658,1,0
two_targets_moving_anchor_random,4619,C5,302,2,138,139,250,55.4,10.1194614405163,0.0211882491582871,13.4416030992757,13.9775661970273,1.32829233831142,1.38125593730354,0.290464017003024,0.290464017003024,1,0
two_targets_moving_anchor_random,4619,C5,303,2,142,143,250,57,10.4830688856569,0.0342661851193286,12.9459513543306,13.1502780556184,1.23493907132895,1.25443018633702,0.301033649404809,0.301033649404809,1,0
two_targets_moving_anchor_random,4619,C5,304,2,151,152,250,60.6,9.75902629664606,0.0486721198474998,12.1558099303741,12.5627800029344,1.24559659548738,1.28729850920188,0.2803807612262,0.2803807612262,1,0
two_targets_moving_anchor_random,4619,C5,305,2,189,190,250,75.8,8.28840922422954,0.0370104711584043,15.241599642774,15.3744941704751,1.83890529900697,1.85493907872342,0.238069644483083,0.238069644483083,1,0
two_targets_moving_anchor_random,4619,C5,306,2,192,193,250,77,9.25436911128973,0.0262733464740157,15.3744941704751,15.5601338227351,1.66132277474422,1.68138245142532,0.265935260186508,0.265935260186508,1,0
two_targets_moving_anchor_random,4619,C5,307,2,196,197,250,78.6,10.2067806348412,0.0262685426256423,14.2934339550972,13.9551092266212,1.40038612236909,1.36723906644814,0.292952404829512,0.292952404829512,1,0
two_targets_moving_anchor_random,4619,C5,308,2,200,201,250,80.2,10.6837055187158,0.0425902390101721,13.043380062493,13.2458639485673,1.22086667773119,1.23981926732846,0.306933781368014,0.306933781368014,1,0
two_targets_moving_anchor_random,4619,C5,309,2,203,204,250,81.4,10.0487723442765,0.0119698833897316,13.2458639485673,13.3247288896633,1.31815743204809,1.32600564856589,0.288411963215166,0.288411963215166,1,0
two_targets_moving_anchor_random,4619,C5,310,2,228,229,250,91.4,10.9638791723052,0.0359629286576585,13.6056310548237,14.3400778885804,1.24095047391544,1.30793833671604,0.315333718709802,0.315333718709802,1,0
two_targets_moving_anchor_random,4621,C5,311,2,35,36,216,16.4351851851852,14.5605301471422,0.0281413187176641,31.650458692761,29.4683756463263,2.17371609226557,2.02385320785246,0.41774920171078,0.41774920171078,1,0
two_targets_moving_anchor_random,4621,C5,312,2,38,39,216,17.8240740740741,14.1269558521778,0.0481463053273364,29.4683756463263,28.6999610635629,2.0859678443593,2.03157434367848,0.406428919822129,0.406428919822129,1,0
two_targets_moving_anchor_random,4621,C5,313,2,57,58,216,26.6203703703704,15.4237048558508,0.0492918319202494,20.360306765581,20.1454549548017,1.32006589570193,1.30613592149747,0.443439511513061,0.443439511513061,1,0
